scenario,year,variable,commodity,sector,subsector,unit,value
BAU,2017,investment,,Waste,,10 billion CNY,0.40409365
BAU,2017,government consumption,Waste,,,10 billion CNY,0.0
BAU,2017,household consumption,Waste,RuralHH,,10 billion CNY,0.0
BAU,2017,household consumption,Waste,UrbanHH,,10 billion CNY,0.0
BAU,2017,output,,MachRep,,10 billion CNY,14.896431
BAU,2017,production cost,,MachRep,,1,1.0
BAU,2017,capital demand,,MachRep,,10 billion CNY,0.45330584
BAU,2017,labor demand,,MachRep,,10 billion CNY,2.3190255
BAU,2017,CO2,,MachRep,,0.1 billion tons,0.009245842
BAU,2017,energy demand,Coal,MachRep,,10 billion CNY,0.031743556
BAU,2017,energy demand,RefPet,MachRep,,10 billion CNY,0.16968516
BAU,2017,energy demand,ElecDist,MachRep,,10 billion CNY,0.4355356
BAU,2017,energy demand,GasDist,MachRep,,10 billion CNY,0.07807066
BAU,2017,domestic demand,,MachRep,,10 billion CNY,10.870509
BAU,2017,commodity price,,MachRep,,1,1.0
BAU,2017,investment,,MachRep,,10 billion CNY,0.0
BAU,2017,government consumption,MachRep,,,10 billion CNY,0.0
BAU,2017,household consumption,MachRep,RuralHH,,10 billion CNY,0.0
BAU,2017,household consumption,MachRep,UrbanHH,,10 billion CNY,0.0
BAU,2017,output,,ElecDist,,10 billion CNY,556.29205
BAU,2017,production cost,,ElecDist,,1,1.0
BAU,2017,capital demand,,ElecDist,,10 billion CNY,95.137344
BAU,2017,labor demand,,ElecDist,,10 billion CNY,56.01748
BAU,2017,CO2,,ElecDist,,0.1 billion tons,44.69086
BAU,2017,energy demand,Coal,ElecDist,,10 billion CNY,78.30129
BAU,2017,energy demand,RefPet,ElecDist,,10 billion CNY,9.306791
BAU,2017,energy demand,ElecDist,ElecDist,,10 billion CNY,158.87477
BAU,2017,energy demand,GasDist,ElecDist,,10 billion CNY,1.5460175
BAU,2017,domestic demand,,ElecDist,,10 billion CNY,555.3388
BAU,2017,commodity price,,ElecDist,,1,1.0
BAU,2017,investment,,ElecDist,,10 billion CNY,0.0
BAU,2017,government consumption,ElecDist,,,10 billion CNY,0.0
BAU,2017,household consumption,ElecDist,RuralHH,,10 billion CNY,6.33603
BAU,2017,household consumption,ElecDist,UrbanHH,,10 billion CNY,27.342005
BAU,2017,output,,GasDist,,10 billion CNY,54.250652
BAU,2017,production cost,,GasDist,,1,1.0
BAU,2017,capital demand,,GasDist,,10 billion CNY,6.8674126
BAU,2017,labor demand,,GasDist,,10 billion CNY,5.760219
BAU,2017,CO2,,GasDist,,0.1 billion tons,0.007603303
BAU,2017,energy demand,Coal,GasDist,,10 billion CNY,1.4647498
BAU,2017,energy demand,RefPet,GasDist,,10 billion CNY,1.1212813
BAU,2017,energy demand,ElecDist,GasDist,,10 billion CNY,1.2159901
BAU,2017,energy demand,GasDist,GasDist,,10 billion CNY,6.872823
BAU,2017,domestic demand,,GasDist,,10 billion CNY,54.250652
BAU,2017,commodity price,,GasDist,,1,1.0
BAU,2017,investment,,GasDist,,10 billion CNY,0.4082581
BAU,2017,government consumption,GasDist,,,10 billion CNY,0.0
